date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/04/2018,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=89876,,,,Sun,Africa/Lagos
01/04/2018,All Day,AUD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=89850,,,,Sun,Africa/Lagos
02/04/2018,00:50,JPY,yellow,Tankan Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2018#detail=91778,24,25,25,Mon,Africa/Lagos
02/04/2018,,JPY,yellow,Tankan Non-Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2018#detail=91775,23,24,23,Mon,Africa/Lagos
02/04/2018,01:30,JPY,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=91728,53.1,53.2,53.2,Mon,Africa/Lagos
02/04/2018,02:00,AUD,yellow,MI Inflation Gauge m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=91616,0.1%,,-0.1%,Mon,Africa/Lagos
02/04/2018,02:45,CNY,orange,RatingDog Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=89932,51.0,51.8,51.6,Mon,Africa/Lagos
02/04/2018,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92579,,,,Mon,Africa/Lagos
02/04/2018,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92980,,,,Mon,Africa/Lagos
02/04/2018,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92982,,,,Mon,Africa/Lagos
02/04/2018,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92983,,,,Mon,Africa/Lagos
02/04/2018,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=89906,,,,Mon,Africa/Lagos
02/04/2018,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=89779,55.7,,55.6,Mon,Africa/Lagos
02/04/2018,14:45,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=86706,55.6,55.7,55.7,Mon,Africa/Lagos
02/04/2018,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=86714,59.3,60.1,60.8,Mon,Africa/Lagos
02/04/2018,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=87169,0.1%,0.4%,0.0%,Mon,Africa/Lagos
02/04/2018,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=april.2018#detail=86711,78.1,72.5,74.2,Mon,Africa/Lagos
02/04/2018,23:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=april.2018#detail=91195,63.1,,57.5,Mon,Africa/Lagos
03/04/2018,00:50,JPY,yellow,Monetary Base y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=92376,9.1%,9.6%,9.4%,Tue,Africa/Lagos
03/04/2018,02:30,AUD,yellow,ANZ Job Advertisements m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=91304,0.0%,,-0.4%,Tue,Africa/Lagos
03/04/2018,04:45,JPY,yellow,10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2018#detail=91670,0.03|4.2,,0.06|4.5,Tue,Africa/Lagos
03/04/2018,05:30,AUD,red,RBA Rate Statement,https://www.forexfactory.com/calendar?month=april.2018#detail=91081,,,,Tue,Africa/Lagos
03/04/2018,,AUD,orange,Cash Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=91078,1.50%,1.50%,1.50%,Tue,Africa/Lagos
03/04/2018,07:00,EUR,orange,German Retail Sales m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=92662,-0.7%,0.7%,-0.3%,Tue,Africa/Lagos
03/04/2018,07:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=91594,-2.1%,,-2.8%,Tue,Africa/Lagos
03/04/2018,08:00,EUR,yellow,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=april.2018#detail=85409,-47.7K,-47.5K,-6.3K,Tue,Africa/Lagos
03/04/2018,08:15,CHF,yellow,Retail Sales y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=90556,-0.2%,-0.7%,-0.4%,Tue,Africa/Lagos
03/04/2018,,EUR,yellow,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85405,54.8,54.7,56.0,Tue,Africa/Lagos
03/04/2018,08:30,CHF,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=90315,60.3,64.3,65.5,Tue,Africa/Lagos
03/04/2018,08:45,EUR,yellow,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85527,55.1,55.6,56.8,Tue,Africa/Lagos
03/04/2018,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85726,53.7,53.6,53.6,Tue,Africa/Lagos
03/04/2018,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85727,58.2,58.4,58.4,Tue,Africa/Lagos
03/04/2018,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85729,56.6,56.6,56.6,Tue,Africa/Lagos
03/04/2018,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85730,55.1,54.8,55.0,Tue,Africa/Lagos
03/04/2018,15:05,USD,yellow,RCM/TIPP Economic Optimism,https://www.forexfactory.com/calendar?month=april.2018#detail=87121,52.6,55.2,55.6,Tue,Africa/Lagos
03/04/2018,15:33,NZD,orange,GDT Price Index,https://www.forexfactory.com/calendar?month=april.2018#detail=90965,-0.6%,,-1.2%,Tue,Africa/Lagos
03/04/2018,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=april.2018#detail=87508,17.5M,16.9M,17.1M,Tue,Africa/Lagos
03/04/2018,All Day,USD,yellow,Wards Total Vehicle Sales,https://www.forexfactory.com/calendar?month=april.2018#detail=110341,17.4M,16.9M,17.0M,Tue,Africa/Lagos
03/04/2018,21:30,USD,orange,FOMC Member Brainard Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94473,,,,Tue,Africa/Lagos
03/04/2018,,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=april.2018#detail=99193,,,,Tue,Africa/Lagos
04/04/2018,00:01,GBP,yellow,BRC Shop Price Index y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=88220,-1.0%,,-0.8%,Wed,Africa/Lagos
04/04/2018,02:30,AUD,red,Retail Sales m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=91457,0.6%,0.3%,0.2%,Wed,Africa/Lagos
04/04/2018,,AUD,orange,Building Approvals m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=91514,-6.2%,-5.1%,17.2%,Wed,Africa/Lagos
04/04/2018,02:45,CNY,orange,RatingDog Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=89964,52.3,54.5,54.2,Wed,Africa/Lagos
04/04/2018,09:00,EUR,yellow,Italian Monthly Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=85525,10.9%,11.0%,11.1%,Wed,Africa/Lagos
04/04/2018,09:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=88042,47.0,50.9,51.4,Wed,Africa/Lagos
04/04/2018,10:00,EUR,orange,Core CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=88588,1.0%,1.1%,1.0%,Wed,Africa/Lagos
04/04/2018,,EUR,orange,CPI Flash Estimate y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=88591,1.4%,1.4%,1.1%,Wed,Africa/Lagos
04/04/2018,,EUR,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=88593,8.5%,8.5%,8.6%,Wed,Africa/Lagos
04/04/2018,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=april.2018#detail=86871,241K,208K,246K,Wed,Africa/Lagos
04/04/2018,14:45,USD,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=86708,54.0,54.3,54.1,Wed,Africa/Lagos
04/04/2018,15:00,USD,red,ISM Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=86717,58.8,59.0,59.5,Wed,Africa/Lagos
04/04/2018,,USD,yellow,Factory Orders m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=89191,1.2%,1.7%,-1.3%,Wed,Africa/Lagos
04/04/2018,15:30,USD,red,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=april.2018#detail=86301,-4.6M,1.4M,1.6M,Wed,Africa/Lagos
04/04/2018,16:00,USD,orange,FOMC Member Mester Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94470,,,,Wed,Africa/Lagos
04/04/2018,23:30,AUD,yellow,AIG Services Index,https://www.forexfactory.com/calendar?month=april.2018#detail=91227,56.9,,54.0,Wed,Africa/Lagos
05/04/2018,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92544,,,,Thu,Africa/Lagos
05/04/2018,02:00,NZD,yellow,ANZ Commodity Prices m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=90868,1.2%,,2.8%,Thu,Africa/Lagos
05/04/2018,02:30,AUD,red,Goods Trade Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=91486,0.83B,0.68B,0.95B,Thu,Africa/Lagos
05/04/2018,07:00,EUR,yellow,German Factory Orders m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=92665,0.3%,1.6%,-3.5%,Thu,Africa/Lagos
05/04/2018,08:15,CHF,yellow,CPI m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=90459,0.4%,0.2%,0.4%,Thu,Africa/Lagos
05/04/2018,,EUR,yellow,Spanish Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85406,56.2,56.2,57.3,Thu,Africa/Lagos
05/04/2018,08:45,EUR,yellow,Italian Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85528,52.6,53.9,55.0,Thu,Africa/Lagos
05/04/2018,08:50,EUR,yellow,French Final Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85733,56.9,56.8,56.8,Thu,Africa/Lagos
05/04/2018,08:55,EUR,yellow,German Final Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85735,53.9,54.2,54.2,Thu,Africa/Lagos
05/04/2018,09:00,EUR,yellow,Final Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85731,54.9,55.0,55.0,Thu,Africa/Lagos
05/04/2018,09:30,GBP,red,Final Services PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85737,51.7,53.9,54.5,Thu,Africa/Lagos
05/04/2018,09:57,EUR,yellow,Spanish 10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2018#detail=85408,1.15|1.5,,1.36|1.3,Thu,Africa/Lagos
05/04/2018,10:00,EUR,yellow,PPI m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=88596,0.1%,0.0%,0.4%,Thu,Africa/Lagos
05/04/2018,,EUR,yellow,Retail Sales m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=88597,0.1%,0.6%,-0.3%,Thu,Africa/Lagos
05/04/2018,10:03,EUR,yellow,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=april.2018#detail=85940,0.74|1.9,,0.90|1.9,Thu,Africa/Lagos
05/04/2018,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=86874,39.4%,,-4.3%,Thu,Africa/Lagos
05/04/2018,13:30,CAD,red,Trade Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=93108,-2.7B,-2.1B,-1.9B,Thu,Africa/Lagos
05/04/2018,,USD,orange,Unemployment Claims,https://www.forexfactory.com/calendar?month=april.2018#detail=86293,242K,225K,218K,Thu,Africa/Lagos
05/04/2018,,USD,yellow,Trade Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=89334,-57.6B,-56.9B,-56.7B,Thu,Africa/Lagos
05/04/2018,15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=april.2018#detail=86287,-29B,-29B,-63B,Thu,Africa/Lagos
05/04/2018,17:00,CHF,orange,Gov Board Member Maechler Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94462,,,,Thu,Africa/Lagos
05/04/2018,18:00,USD,orange,FOMC Member Bostic Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94474,,,,Thu,Africa/Lagos
06/04/2018,00:30,JPY,yellow,Household Spending y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=92275,-0.9%,0.3%,1.9%,Fri,Africa/Lagos
06/04/2018,01:00,JPY,yellow,Average Cash Earnings y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=92180,1.3%,0.5%,1.2%,Fri,Africa/Lagos
06/04/2018,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=april.2018#detail=92546,,,,Fri,Africa/Lagos
06/04/2018,06:00,JPY,yellow,Leading Indicators,https://www.forexfactory.com/calendar?month=april.2018#detail=92038,105.8%,105.5%,105.6%,Fri,Africa/Lagos
06/04/2018,07:00,EUR,yellow,German Industrial Production m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=92666,-1.6%,0.2%,0.1%,Fri,Africa/Lagos
06/04/2018,07:45,EUR,yellow,French Gov Budget Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=85968,-28.5B,,-10.8B,Fri,Africa/Lagos
06/04/2018,,EUR,yellow,French Trade Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=85976,-5.2B,-5.3B,-5.4B,Fri,Africa/Lagos
06/04/2018,08:00,CHF,yellow,Foreign Currency Reserves,https://www.forexfactory.com/calendar?month=april.2018#detail=90345,738B,,732B,Fri,Africa/Lagos
06/04/2018,09:10,EUR,yellow,Retail PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=85920,50.1,,52.3,Fri,Africa/Lagos
06/04/2018,09:30,GBP,yellow,Housing Equity Withdrawal q/q,https://www.forexfactory.com/calendar?month=april.2018#detail=87938,-6.7B,-6.7B,-6.3B,Fri,Africa/Lagos
06/04/2018,13:30,CAD,red,Employment Change,https://www.forexfactory.com/calendar?month=april.2018#detail=93110,32.3K,20.1K,15.4K,Fri,Africa/Lagos
06/04/2018,,CAD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=93113,5.8%,5.8%,5.8%,Fri,Africa/Lagos
06/04/2018,,USD,red,Average Hourly Earnings m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=86534,0.3%,0.3%,0.1%,Fri,Africa/Lagos
06/04/2018,,USD,red,Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=april.2018#detail=86543,103K,188K,326K,Fri,Africa/Lagos
06/04/2018,,USD,red,Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=86545,4.1%,4.0%,4.1%,Fri,Africa/Lagos
06/04/2018,15:00,CAD,orange,Ivey PMI,https://www.forexfactory.com/calendar?month=april.2018#detail=89697,59.8,60.2,59.6,Fri,Africa/Lagos
06/04/2018,16:15,GBP,red,BOE Gov Carney Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94465,,,,Fri,Africa/Lagos
06/04/2018,18:30,USD,red,Fed Chair Powell Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94469,,,,Fri,Africa/Lagos
06/04/2018,20:00,USD,yellow,Consumer Credit m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=89161,10.6B,15.3B,15.6B,Fri,Africa/Lagos
08/04/2018,23:30,AUD,yellow,AIG Construction Index,https://www.forexfactory.com/calendar?month=april.2018#detail=91236,57.2,,56.0,Sun,Africa/Lagos
09/04/2018,00:50,JPY,yellow,Current Account,https://www.forexfactory.com/calendar?month=april.2018#detail=91927,1.02T,1.39T,2.02T,Mon,Africa/Lagos
09/04/2018,06:03,JPY,yellow,Consumer Confidence,https://www.forexfactory.com/calendar?month=april.2018#detail=91798,44.3,44.6,44.3,Mon,Africa/Lagos
09/04/2018,06:45,CHF,yellow,Unemployment Rate,https://www.forexfactory.com/calendar?month=april.2018#detail=90439,2.9%,2.9%,2.9%,Mon,Africa/Lagos
09/04/2018,07:00,EUR,yellow,German Trade Balance,https://www.forexfactory.com/calendar?month=april.2018#detail=92669,19.2B,23.1B,21.5B,Mon,Africa/Lagos
09/04/2018,,JPY,yellow,Economy Watchers Sentiment,https://www.forexfactory.com/calendar?month=april.2018#detail=91813,48.9,48.1,48.6,Mon,Africa/Lagos
09/04/2018,08:30,GBP,orange,Halifax HPI m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=87261,1.5%,0.1%,0.5%,Mon,Africa/Lagos
09/04/2018,09:30,EUR,yellow,Sentix Investor Confidence,https://www.forexfactory.com/calendar?month=april.2018#detail=88802,19.6,21.2,24.0,Mon,Africa/Lagos
09/04/2018,15:30,CAD,red,BOC Business Outlook Survey,https://www.forexfactory.com/calendar?month=april.2018#detail=89683,,,,Mon,Africa/Lagos
09/04/2018,23:00,NZD,orange,NZIER Business Confidence,https://www.forexfactory.com/calendar?month=april.2018#detail=90656,-11,,-12,Mon,Africa/Lagos
10/04/2018,00:01,GBP,yellow,BRC Retail Sales Monitor y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=88250,1.4%,,0.6%,Tue,Africa/Lagos
10/04/2018,02:30,AUD,orange,NAB Business Confidence,https://www.forexfactory.com/calendar?month=april.2018#detail=91279,7,,9,Tue,Africa/Lagos
10/04/2018,06:57,JPY,yellow,Prelim Machine Tool Orders y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=91860,28.1%,,39.5%,Tue,Africa/Lagos
10/04/2018,07:45,EUR,yellow,French Industrial Production m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=86036,1.2%,1.5%,-1.8%,Tue,Africa/Lagos
10/04/2018,09:00,EUR,yellow,Italian Industrial Production m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=85608,-0.5%,1.0%,-1.8%,Tue,Africa/Lagos
10/04/2018,10:00,GBP,orange,MPC Member Haldane Speaks,https://www.forexfactory.com/calendar?month=april.2018#detail=94741,,,,Tue,Africa/Lagos
10/04/2018,11:00,USD,yellow,NFIB Small Business Index,https://www.forexfactory.com/calendar?month=april.2018#detail=87527,104.7,107.0,107.6,Tue,Africa/Lagos
10/04/2018,13:13,CAD,yellow,Housing Starts,https://www.forexfactory.com/calendar?month=april.2018#detail=89811,225K,219K,231K,Tue,Africa/Lagos
10/04/2018,13:30,CAD,orange,Building Permits m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=93114,-2.6%,-1.5%,5.2%,Tue,Africa/Lagos
10/04/2018,,USD,red,PPI m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=87413,0.3%,0.1%,0.2%,Tue,Africa/Lagos
10/04/2018,,USD,orange,Core PPI m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=87411,0.3%,0.2%,0.2%,Tue,Africa/Lagos
10/04/2018,15:00,USD,yellow,Final Wholesale Inventories m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=89469,1.0%,0.8%,1.1%,Tue,Africa/Lagos
10/04/2018,21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=april.2018#detail=99195,,,,Tue,Africa/Lagos
11/04/2018,00:50,JPY,yellow,Bank Lending y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=91917,2.0%,2.1%,2.1%,Wed,Africa/Lagos
11/04/2018,,JPY,yellow,Core Machinery Orders m/m,https://www.forexfactory.com/calendar?month=april.2018#detail=92028,2.1%,-2.6%,8.2%,Wed,Africa/Lagos
11/04/2018,,JPY,yellow,PPI y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=92201,2.1%,2.1%,2.6%,Wed,Africa/Lagos
11/04/2018,01:30,AUD,yellow,Westpac Consumer Sentiment,https://www.forexfactory.com/calendar?month=april.2018#detail=91173,-0.6%,,0.2%,Wed,Africa/Lagos
11/04/2018,02:30,CNY,orange,CPI y/y,https://www.forexfactory.com/calendar?month=april.2018#detail=90043,2.1%,2.6%,2.9%,Wed,Africa/Lagos
