date,time,currency,impact,event,detail,actual,forecast,previous,day,timezone
01/01/2013,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48185,,,,Tue,Africa/Lagos
01/01/2013,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48201,,,,Tue,Africa/Lagos
01/01/2013,01:00,CNY,red,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=44749,50.6,51.0,50.6,Tue,Africa/Lagos
01/01/2013,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48229,,,,Tue,Africa/Lagos
01/01/2013,All Day,EUR,gray,German Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48244,,,,Tue,Africa/Lagos
01/01/2013,All Day,EUR,gray,French Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48258,,,,Tue,Africa/Lagos
01/01/2013,All Day,EUR,gray,Italian Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48281,,,,Tue,Africa/Lagos
01/01/2013,All Day,GBP,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48156,,,,Tue,Africa/Lagos
01/01/2013,All Day,CAD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48146,,,,Tue,Africa/Lagos
01/01/2013,All Day,USD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48175,,,,Tue,Africa/Lagos
01/01/2013,All Day,NZD,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48165,,,,Tue,Africa/Lagos
01/01/2013,22:30,AUD,yellow,AIG Manufacturing Index,https://www.forexfactory.com/calendar?month=january.2013#detail=44255,44.3,,44.3,Tue,Africa/Lagos
02/01/2013,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48186,,,,Wed,Africa/Lagos
02/01/2013,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48202,,,,Wed,Africa/Lagos
02/01/2013,05:30,AUD,yellow,Commodity Prices y/y,https://www.forexfactory.com/calendar?month=january.2013#detail=44465,-8.0%,,-10.3%,Wed,Africa/Lagos
02/01/2013,All Day,CHF,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48230,,,,Wed,Africa/Lagos
02/01/2013,All Day,EUR,orange,German Prelim CPI m/m,https://www.forexfactory.com/calendar?month=january.2013#detail=40735,0.9%,0.7%,-0.1%,Wed,Africa/Lagos
02/01/2013,08:00,EUR,yellow,Spanish Flash CPI y/y,https://www.forexfactory.com/calendar?month=january.2013#detail=54163,2.9%,2.9%,2.9%,Wed,Africa/Lagos
02/01/2013,08:15,EUR,orange,Spanish Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=47211,44.6,44.9,45.3,Wed,Africa/Lagos
02/01/2013,08:45,EUR,orange,Italian Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=47207,46.7,45.4,45.1,Wed,Africa/Lagos
02/01/2013,08:50,EUR,yellow,French Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=59014,44.6,44.6,44.6,Wed,Africa/Lagos
02/01/2013,08:55,EUR,yellow,German Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=59017,46.0,46.3,46.3,Wed,Africa/Lagos
02/01/2013,09:00,EUR,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=47203,46.1,46.3,46.3,Wed,Africa/Lagos
02/01/2013,09:30,GBP,red,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=45802,51.4,49.2,49.2,Wed,Africa/Lagos
02/01/2013,13:30,NZD,yellow,GDT Price Index,https://www.forexfactory.com/calendar?month=january.2013#detail=56290,1.6%,,0.3%,Wed,Africa/Lagos
02/01/2013,14:00,USD,yellow,Final Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=46758,54.0,53.2,54.2,Wed,Africa/Lagos
02/01/2013,14:30,CAD,yellow,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=59527,50.4,,50.4,Wed,Africa/Lagos
02/01/2013,15:00,USD,red,ISM Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=46722,50.7,50.2,49.5,Wed,Africa/Lagos
02/01/2013,,USD,yellow,Construction Spending m/m,https://www.forexfactory.com/calendar?month=january.2013#detail=46254,-0.3%,0.6%,0.7%,Wed,Africa/Lagos
02/01/2013,,USD,yellow,ISM Manufacturing Prices,https://www.forexfactory.com/calendar?month=january.2013#detail=46734,55.5,51.4,52.5,Wed,Africa/Lagos
03/01/2013,All Day,JPY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48187,,,,Thu,Africa/Lagos
03/01/2013,All Day,CNY,gray,Bank Holiday,https://www.forexfactory.com/calendar?month=january.2013#detail=48203,,,,Thu,Africa/Lagos
03/01/2013,01:00,CNY,yellow,Non-Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=44772,56.1,,55.6,Thu,Africa/Lagos
03/01/2013,07:00,GBP,orange,Nationwide HPI m/m,https://www.forexfactory.com/calendar?month=january.2013#detail=40612,-0.1%,0.1%,0.0%,Thu,Africa/Lagos
03/01/2013,08:00,CHF,orange,KOF Economic Barometer,https://www.forexfactory.com/calendar?month=january.2013#detail=39311,1.28,1.39,1.50,Thu,Africa/Lagos
03/01/2013,,EUR,orange,Spanish Unemployment Change,https://www.forexfactory.com/calendar?month=january.2013#detail=47422,-59.1K,50.3K,74.3K,Thu,Africa/Lagos
03/01/2013,08:30,CHF,orange,Manufacturing PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=45346,49.5,48.7,48.5,Thu,Africa/Lagos
03/01/2013,08:55,EUR,orange,German Unemployment Change,https://www.forexfactory.com/calendar?month=january.2013#detail=40703,3K,11K,5K,Thu,Africa/Lagos
03/01/2013,09:00,EUR,orange,M3 Money Supply y/y,https://www.forexfactory.com/calendar?month=january.2013#detail=47480,3.8%,3.8%,3.9%,Thu,Africa/Lagos
03/01/2013,,EUR,yellow,Private Loans y/y,https://www.forexfactory.com/calendar?month=january.2013#detail=47482,-0.8%,-0.5%,-0.8%,Thu,Africa/Lagos
03/01/2013,09:30,GBP,red,Construction PMI,https://www.forexfactory.com/calendar?month=january.2013#detail=45803,48.7,49.6,49.3,Thu,Africa/Lagos
03/01/2013,,GBP,orange,BOE Credit Conditions Survey,https://www.forexfactory.com/calendar?month=january.2013#detail=40482,,,,Thu,Africa/Lagos
03/01/2013,10:00,EUR,orange,French 10-y Bond Auction,https://www.forexfactory.com/calendar?month=january.2013#detail=42411,2.07|1.7,,2.22|2.0,Thu,Africa/Lagos
03/01/2013,12:30,USD,yellow,Challenger Job Cuts y/y,https://www.forexfactory.com/calendar?month=january.2013#detail=45672,-22.1%,,34.4%,Thu,Africa/Lagos
03/01/2013,13:15,USD,red,ADP Non-Farm Employment Change,https://www.forexfactory.com/calendar?month=january.2013#detail=45673,215K,134K,148K,Thu,Africa/Lagos
03/01/2013,13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=january.2013#detail=45480,372K,356K,362K,Thu,Africa/Lagos
03/01/2013,All Day,USD,yellow,Total Vehicle Sales,https://www.forexfactory.com/calendar?month=january.2013#detail=46456,15.4M,15.3M,15.5M,Thu,Africa/Lagos
